"name","group"
"medicine lecturer","University and higher education teachers"
"telephone switchboard operator","Telephone switchboard operators"
"doctors' surgery assistant","Medical assistants"
"cable jointer","Electrical line installers and repairers"
"horse riding instructor","Fitness and recreation instructors and program leaders"
"delivery driver","Car, taxi and van drivers"
"digital forensics expert","Database and network professionals not elsewhere classified"
"medical device engineer","Electronics engineers"
"telecommunication equipment shop manager","Retail and wholesale trade managers"
"import export manager in agricultural machinery and equipment","Supply, distribution and related managers"
"quantity surveyor","Engineering professionals not elsewhere classified"
"vessel operations coordinator","Transport clerks"
"historian","Philosophers, historians and political scientists"
"ICT security consultant","Database and network professionals not elsewhere classified"
"chemical production manager","Manufacturing managers"
"child care social worker","Social work and counselling professionals"
"air traffic manager","Supply, distribution and related managers"
"ICT teacher secondary school","Secondary education teachers"
"lime kiln operator","Chemical products plant and machine operators"
"water-based aquaculture technician","Aquaculture workers"
"meteorology technician","Chemical and physical science technicians"
"chemist","Chemists"
"ammunition specialised seller","Shop sales assistants"
"sound operator","Broadcasting and audiovisual technicians"
"laundry worker","Laundry machine operators"
"biotechnical technician","Life science technicians (excluding medical)"
"granulator machine operator","Chemical products plant and machine operators"
"audio describer","Announcers on radio, television and other media"
"construction general supervisor","Construction supervisors"
"chief marketing officer","Sales and marketing managers"
"field survey manager","Office supervisors"
"boring machine operator","Metal working machine tool setters and operators"
"musical conductor","Musicians, singers and composers"
"leather goods production supervisor","Manufacturing supervisors"
"renewable energy engineer","Engineering professionals not elsewhere classified"
"microelectronics engineering technician","Electronics engineering technicians"
"tower crane operator","Crane, hoist and related plant operators"
"refurbishing technician","Motor vehicle mechanics and repairers"
"investment manager","Financial and investment advisers"
"call centre agent","Contact centre salespersons"
"fur animals breeder","Animal producers not elsewhere classified"
"secretary of state","Legislators"
"intelligent lighting engineer","Other artistic and cultural associate professionals"
"missionary","Religious professionals"
"rolling stock engineering technician","Mechanical engineering technicians"
"real estate manager","Real estate agents and property managers"
"civil engineering technician","Civil engineering technicians"
"court clerk","Legal and related associate professionals"
"textile designer","Product and garment designers"
"pharmaceutical quality specialist","Pharmacists"
"water conservation technician","Plumbers and pipe fitters"
"briquetting machine operator","Metal working machine tool setters and operators"
"sectional belt mould assembler","Rubber products machine operators"
"candy machine operator","Food and related products machine operators"
"chef","Chefs"
"pharmacologist","Biologists, botanists, zoologists and related professionals"
